glaucoma,intraocular,retinopatía,macular,hipertensión,estrabismo
ictus,infarto,cerebrovascular,miocardio,infartos,apoplejía
cirugía,quirúrgica,reconstructiva,quirúrgicas,bariátrica,cirugías
reducción de estómago,,,,,
diabetes,mellitus,hipertensión,cardiovasculares,osteoporosis
complicaciones,complicación,postoperatorias,eclampsia,neumonía,preclampsia
retinopatía,retinosis,retinitis,macular,pigmentaria,uveítis
glucosa,fructosa,galactosa,carbohidratos,insulina,azúcares
tolerancia a la glucosa,,,,,
caramelos,golosinas,gominolas,dulces,galletas,bombones
insulina,hormona,glucagón,glucosa,leptina,somatostatina
ejercicio,ejercer,ejericio,ejercio,ejecicio,ejercico
evitar,impedir,prevenir,evitando,evite,eviten
embarazar,destrozarlas,predecirle,hizieran,vejarla,despreciarlas
splenda,grenetina,Glaseado,Licúa,Licue,champurradas
azúcar,caña,cacao,plátano,mascabado,azucar
licor,aguardiente,licores,bebida,whisky,ron
alimentos,alimentarios,alimenticios,alimento,comida,verduras
fruta,frutas,verdura,verduras,zumo,hortaliza
dulces,postres,golosinas,pasteles,cocadas,polvorones
erección,erecciones,erigir,Erección,Carolense,eyaculación
dentales,dental,ortodoncia,blanqueamientos,odontológicos,dentarias
predisponen,predisponentes,predispone,poligénicas,intercurrentes,trombofilia
predispone,predisponen,predisponente,hipercortisolismo,arteroesclerosis,melitus
diagnostica,diagnostican,diagnostique,curable,diagnosticada,diagnostiquen
diagnosticar,diagnóstico,diagnosticarla,diagnosticarlo,diagnostiquen,diagnósticar
diabetes gestacional,,,,,
embarazo,parto,posparto,gestación,puerperio,feto
bebe,beben,beber,emborracha,bebió,beba
embarazada,encinta,bebé,embarazo,embarazó,embaraza
gestación,embarazo,parto,feto,gemelar,alumbramiento
tipo 1,,,,,
tipo I,,,,,
tipo 2,,,,,
tipo II,,,,,
corro,maquillo,mejenguear,plantarme,jugá,caliento
correr,corriendo,ultramaratones,corría,correrla,corre
ósea,médula,óseo,medula,resorción,hematopoyético
huesos,hueso,cráneo,óseos,cráneos,tendones
encías,gingivitis,bucales,mucosas,caries,halitosis
encía,gingival,pulpar,palpebral,encías,periodonto
insulinemia,,,,,
Hemoglobina Glicosilada,,,,,
HbA1c,,,,,
Que es la A1c,,,,,
erectil,paroxísticas,Meige,coreoatetosis,tubulointersticial,polineuropatías
sexuales,sexual,coitales,consentidas,extraconyugales,efebofilia
sexual,sexuales,sexualidad,sexualDIGITO,sexualmente,efebofilia
deporte,deportes,atletismo,ciclismo,básquetbol,deportivas
Hipoglicemia,,,,,
Hipoglicemia Asintomatico,,,,,
Hipoglicemia Asintomatica,,,,,
nefropatia,,,,,
neuropatía,neuritis,polineuropatía,disautonomía,esclerodermia,Neuropatía
neuropatías,miopatías,nefropatías,cardiomiopatías,musculoesqueléticas,autoinmunitarias
obesidad,sobrepeso,diabetes,hipertensión,tabaquismo,sedentarismo
obeso,obesa,holgazán,sobrepeso,debilucho,hipertenso
periodoncia,periodontología,odontopediatría,fisiatría,coloproctología,prostodoncia
pie diabético,,,,,
piel,pigmentación,cabelludo,rojeces,grasosa,enrojecimientos
Dermopatia Diabetica,,,,,
Necrobiosis lipoidica,,,,,
prediabetes,hipertrigliceridemia,dislipemia,microalbuminuria,dislipidemia,hiperglicemia
Ampollas diabeticas,,,,,
xantomatosis eruptiva,,,,,
Tiña inguinal,,,,,
pie de atleta,,,,,
Tiña,Criptococosis,Demodexia,Peritonitis,Dermatofitosis,Linfosarcoma
infecciones vaginales,,,,,
Acantosis Nigricans,,,,,
esclerosis digital,,,,,
ampollas diabeticas,,,,,
Granuloma anular,,,,,
ojo,párpado,lentilla,moretón,nariz,ὄψ
ojos,párpados,entrecerrados,saltones,labios,rasgados
cataratas,Cataratas,catarata,Yellala,Gocta,cascadas
catarata,cataratas,Gocta,Yumbilla,cascada,Yellala
Retinopaía Diabética,,,,,
Edema Macular,,,,,
Fotocoagulacion,,,,,
edema macular,,,,,
prevenir,evitar,combatir,prevención,prevengan,detectar
prevención,preventivas,prevenir,concientización,posexposición,Prevención
Chile,chileno,Perú,Argentina,chilena,Valparaíso
población,habitantes,poblacional,htes,poblaciónde,kmª
Mexico,México,Iberoamerican,Panama,Yucatan,Ameritas
cetoacidosis,hiperosmolar,hipernatremia,anuria,hipoventilación,hiperpotasemia
índice glucémico,,,,,
sacarina,maltitol,aspartame,acesulfame,sucralosa,acesulfamo
comer,beber,comerse,comiendo,comida,consumir
pre diabetes,,,,,

